stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
23,0.5,1.0,33.479286900023,,33.46345950011164,33.479286900023,33.97927480004728,33.97927480004728,33.97927480004728,34.27918040007353,34.43015990010463,right,1.0,0,0,0.4361355002038181,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
24,0.5,1.5,34.44627690012567,,34.43023440008983,34.44627690012567,34.945791699923575,34.945791699923575,34.945791699923575,35.245941600063816,35.33013699995354,left,-1.5,1,1,0.3739267000928521,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
25,0.5,1.5,35.34589090012014,,35.33020500000566,35.34589090012014,35.82905749999918,35.82905749999918,35.84684900008142,36.12931019999087,36.14706870005466,left,-1.5,1,1,0.31691769999451935,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
26,0.5,1.5,36.16265990003012,,36.1471373999957,36.16265990003012,36.66334780002944,36.66334780002944,36.66334780002944,36.96282949997112,37.09674519998953,left,-1.5,1,1,0.42503680009394884,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
27,0.5,1.0,37.11233910010196,,37.09681429993361,37.11233910010196,37.59592360001989,37.59592360001989,37.61239399993792,37.89606579998508,38.213354600127786,right,1.0,1,1,0.6041431999765337,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
28,0.5,1.0,38.22922320012003,,38.21341899991967,38.22922320012003,38.71233190014027,38.71233190014027,38.72930010012351,39.0134966999758,39.23058480001055,right,1.0,1,1,0.5171495999675244,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
29,0.5,1.0,39.2457930999808,,39.23065800010227,39.2457930999808,39.746141500072554,39.746141500072554,39.746141500072554,40.04609260009602,40.19693229999393,right,1.0,1,1,0.4428743999451399,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
30,0.5,1.0,40.21228229999542,,40.197005100082606,40.21228229999542,40.71266230009496,40.71266230009496,40.71266230009496,41.01246550003998,41.129609799943864,right,1.0,1,1,0.4138039001263678,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
31,0.5,1.0,41.14575179992244,,41.12967550009489,41.14575179992244,41.62946750014089,41.62946750014089,41.64636080013588,41.92886340012774,42.13038669992238,left,-1.0,0,0,0.49817229993641376,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
32,0.5,1.5,42.14596400014125,,42.130454499972984,42.14596400014125,42.64627450006083,42.64627450006083,42.64627450006083,42.94564520008862,44.129929000046104,left,-1.5,1,1,1.4726196001283824,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
