trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
13,0,13,0,21.314024999999674,,21.299300600017887,21.314024999999674,22.31413579999935,22.31413579999935,22.66516090001096,up,1,0.3497557000082452,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
14,0,14,0,22.68041900001117,,22.666486600006465,22.68041900001117,23.680758200003766,23.680758200003766,24.614641000021948,down,1,0.9193580000137445,None,-3,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
15,0,15,0,24.630787300004158,,24.615929999999935,24.630787300004158,25.630686000018613,25.630686000018613,26.13125430000946,up,1,0.4901176000130363,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
16,0,16,0,26.147462300024927,,26.13259470000048,26.147462300024927,27.14721350002219,27.14721350002219,27.91466800001217,up,1,0.7536702000070363,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
17,0,17,0,27.930837100022472,,27.9159525000141,27.930837100022472,28.93038550001802,28.93038550001802,29.714714900008403,down,1,0.7780943000107072,None,4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
18,0,18,0,29.730487600027118,,29.71607930000755,29.730487600027118,30.730548700026702,30.730548700026702,31.264652000012575,down,1,0.528301599988481,None,-4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
19,0,19,0,31.28079030002118,,31.265929900022456,31.28079030002118,32.28049520001514,32.28049520001514,33.01442830002634,up,1,0.7226440999947954,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
20,0,20,0,33.03075330000138,,33.01573370001279,33.03075330000138,34.03068600001279,34.03068600001279,34.54784280000604,down,1,0.5013320000143722,None,-2,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
21,0,21,0,34.564256100013154,,34.54916010002489,34.564256100013154,35.563814300025115,35.563814300025115,36.11516150002717,up,1,0.5443076999799814,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
22,0,22,0,36.13073040000745,,36.11650900001405,36.13073040000745,37.13054130002274,37.13054130002274,37.71445759999915,up,0,0.5676159000140615,None,4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
23,0,23,0,37.73077990001184,,37.71583610001835,37.73077990001184,38.730586100020446,38.730586100020446,39.698212300019804,up,1,0.9619838999933563,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
24,0,24,0,39.71370960000786,,39.69950270000845,39.71370960000786,40.713979000021936,40.713979000021936,41.41465560000506,up,1,0.6924365000159014,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
25,0,25,0,41.43074930002331,,41.41599590002443,41.43074930002331,42.431053900014376,42.431053900014376,42.99791780000669,up,1,0.5524260000092909,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
26,0,26,0,43.01376880001044,,42.999188900023,43.01376880001044,44.01384350002627,44.01384350002627,44.59824830002617,up,1,0.5765300999919418,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
27,0,27,0,44.61401790002128,,44.59959389999858,44.61401790002128,45.61397550001857,45.61397550001857,46.58122320001712,up,1,0.952723700000206,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
28,0,28,0,46.597186600003624,,46.58251279999968,46.597186600003624,47.597164300008444,47.597164300008444,48.18190640001558,down,1,0.5831482000066899,None,-3,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
29,0,29,0,48.19692370001576,,48.18320920001133,48.19692370001576,49.19724220002536,49.19724220002536,50.18094680001377,down,0,0.9710196999949403,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
30,0,30,0,50.19722430000547,,50.182262700021965,50.19722430000547,51.197262300003786,51.197262300003786,52.264593600004446,up,1,1.0606816999788862,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
31,0,31,0,52.280555000004824,,52.26589220002643,52.280555000004824,53.28055830000085,53.28055830000085,53.86454500001855,up,1,0.5739200000243727,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
32,0,32,0,53.880448300013086,,53.8658975000144,53.880448300013086,54.88056510000024,54.88056510000024,55.31539820000762,up,0,0.42686109998612665,None,1,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
33,0,33,0,55.33019970002351,,55.3167382000247,55.33019970002351,56.330543800024316,56.330543800024316,56.91469890001463,up,0,0.5710959999996703,None,1,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
34,0,34,0,56.93066450001788,,56.91602190001868,56.93066450001788,57.930471700005,57.930471700005,58.414707500021905,up,1,0.48211219999939203,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
35,0,35,0,58.43023570001242,,58.41605980001623,58.43023570001242,59.43054739999934,59.43054739999934,60.19813200001954,down,1,0.7553757000132464,None,-5,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
36,0,36,0,60.21392740000738,,60.199444500001846,60.21392740000738,61.21383270001388,61.21383270001388,62.631243600015296,up,1,1.4075657999783289,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
37,0,37,0,62.64728970002034,,62.6326728000131,62.64728970002034,63.64710820000619,63.64710820000619,64.31446790002519,down,1,0.6569740999839269,None,-4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
38,0,38,0,64.33060110002407,,64.3157540000102,64.33060110002407,65.33028670001659,65.33028670001659,65.86428850001539,up,1,0.5210619999852497,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
39,0,39,0,65.88088599999901,,65.86563770001521,65.88088599999901,66.88056040002266,66.88056040002266,67.28086379999877,down,1,0.3903924000042025,None,-2,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
40,0,40,0,67.29690169999958,,67.28217270001187,67.29690169999958,68.29709530001855,68.29709530001855,68.7649210000236,down,1,0.464329300011741,None,-5,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
41,0,41,0,68.78017000001273,,68.76622900000075,68.78017000001273,69.78020170002128,69.78020170002128,70.43102390001877,up,1,0.6447468000114895,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
42,0,42,0,70.44699200001196,,70.43232330001774,70.44699200001196,71.44709760000114,71.44709760000114,72.08086520002689,up,1,0.6235832000093069,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
43,0,43,0,72.09708890001639,,72.08214589999989,72.09708890001639,73.09707500002696,73.09707500002696,73.63107240002137,up,1,0.5189494000223931,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
44,0,44,0,73.64730100001907,,73.63235850000638,73.64730100001907,74.64704160002293,74.64704160002293,75.09770170002594,up,1,0.4376460000057705,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
45,0,45,0,75.11390820000088,,75.09898030001204,75.11390820000088,76.1137674000056,76.1137674000056,76.74798169999849,down,1,0.6278608999855351,None,2,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
46,0,46,0,76.76357700000517,,76.74926330000744,76.76357700000517,77.76351499999873,77.76351499999873,78.8145750000258,up,1,1.0371304000145756,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
47,0,47,0,78.83018119999906,,78.81585990000167,78.83018119999906,79.83046140000806,79.83046140000806,80.56446069999947,up,1,0.717267100000754,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
48,0,48,0,80.58051250001881,,80.5658011000196,80.58051250001881,81.58042360001127,81.58042360001127,82.91456460001064,down,0,1.3177259000076447,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
49,0,49,0,82.93038040000829,,82.91586820001248,82.93038040000829,83.93027520002215,83.93027520002215,84.6476576999994,down,1,0.7005009999847971,None,-4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
50,0,50,0,84.66376580001088,,84.6489508000086,84.66376580001088,85.66355920000933,85.66355920000933,88.11467710000579,up,1,2.4485436999821104,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
51,0,51,0,88.13011460000416,,88.11600440001348,88.13011460000416,89.13042950001545,89.13042950001545,90.16425470000831,down,1,1.0214740000083111,None,-4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
52,0,52,0,90.18054660002235,,90.16556430002674,90.18054660002235,91.18018100000336,91.18018100000336,91.7308954000182,down,1,0.5368459000019357,None,-4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
53,0,53,0,91.74721090000821,,91.73215750002419,91.74721090000821,92.74687040000572,92.74687040000572,93.6146618000057,up,1,0.8657572999945842,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
54,0,54,0,93.63007910002489,,93.61609580001095,93.63007910002489,94.63038330001291,94.63038330001291,95.74760770000285,down,1,1.1126591000065673,None,-2,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
55,0,55,0,95.76345380002749,,95.74894040002255,95.76345380002749,96.76383110001916,96.76383110001916,97.21407750001526,down,1,0.4456569000030868,None,-5,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
56,0,56,0,97.23000530002173,,97.21536210001796,97.23000530002173,98.2303143000172,98.2303143000172,98.88088560002507,up,1,0.6454754000005778,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
57,0,57,0,98.89679740002612,,98.88222090000636,98.89679740002612,99.89684900001157,99.89684900001157,100.78101350000361,down,1,0.8709512000204995,None,1,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
58,0,58,0,100.79716690001078,,100.78237040000386,100.79716690001078,101.79697300001862,101.79697300001862,102.36413810000522,down,1,0.5617799000174273,None,-4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
59,0,59,0,102.38012480002362,,102.36547110002721,102.38012480002362,103.38034480001079,103.38034480001079,103.86451790001593,down,1,0.47971610000240617,None,-5,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
60,0,60,0,103.88009940000484,,103.86583030002657,103.88009940000484,104.88007450001896,104.88007450001896,105.6307088000176,down,1,0.7466351999901235,None,3,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
61,0,61,0,105.64664990000892,,105.63200990000041,105.64664990000892,106.63036870001815,106.64690390002215,107.58087260002503,down,1,0.9422918999916874,None,-5,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
62,0,62,0,107.59711010000319,,107.58218890000717,107.59711010000319,108.59696600001189,108.59696600001189,109.16495430000941,down,1,0.5664630000246689,None,-5,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
63,0,63,0,109.17993610000121,,109.1662583000143,109.17993610000121,110.1802668000164,110.1802668000164,111.23101290001068,up,1,1.0421155999938492,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
64,0,64,0,111.24662650001119,,111.23234080002294,111.24662650001119,112.2469698000059,112.2469698000059,114.33059470000444,down,1,2.0712569000024814,None,-4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
65,0,65,0,114.34675760002574,,114.33188550002524,114.34675760002574,115.3469507000118,115.3469507000118,115.86420840001665,down,1,0.5071716000093147,None,-3,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
66,0,66,0,115.88007410001592,,115.86559420000413,115.88007410001592,116.8802674000035,116.8802674000035,120.56419800000731,up,0,3.677749499998754,None,2,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
67,0,67,0,120.57995210000081,,120.56550840000273,120.57995210000081,121.58024930002284,121.58024930002284,122.36401200000546,down,1,0.7735850999888498,None,-4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
68,0,68,0,122.38042580001638,,122.36533290002262,122.38042580001638,123.38010380000924,123.38010380000924,124.13124940000125,down,1,0.7444214999850374,None,4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
69,0,69,0,124.14660220002406,,124.13255340000615,124.14660220002406,125.14686360000633,125.14686360000633,125.93076450002263,down,1,0.7756360999774188,None,-2,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
70,0,70,0,125.94705730001442,,125.9320952000271,125.94705730001442,126.94679620000534,126.94679620000534,127.56402560000424,down,1,0.6071753000142053,None,-4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
71,0,71,0,127.58004650002113,,127.56533209999907,127.58004650002113,128.58023160000448,128.58023160000448,129.06415500000003,down,1,0.47085700000752695,None,-4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
72,0,72,0,129.08031520000077,,129.0654262000171,129.08031520000077,130.0801726000209,130.0801726000209,130.61456800001906,up,1,0.5305959999968763,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
73,0,73,0,130.6298348000273,,130.61590830000932,130.6298348000273,131.6301608000067,131.6301608000067,132.1642056000128,down,1,0.5178128000115976,None,-3,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
74,0,74,0,132.180061400024,,132.16594280002755,132.180061400024,133.18012100001215,133.18012100001215,133.59732310002437,up,1,0.401105800003279,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
75,0,75,0,133.61338600001181,,133.59861110002385,133.61338600001181,134.6135216000257,134.6135216000257,135.18064510001568,up,1,0.5601587999844924,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
76,0,76,0,135.197009000025,,135.18195090000518,135.197009000025,136.19673750002403,136.19673750002403,136.8475724000018,down,1,0.6480278999952134,None,-3,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
77,0,77,0,136.8631307000178,,136.84892320001381,136.8631307000178,137.86358040000778,137.86358040000778,139.014759600017,down,0,1.1499369000084698,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
78,0,78,0,139.02988270000787,,139.0161743000208,139.02988270000787,140.0301150000014,140.0301150000014,140.33121709999978,up,1,0.2970524000120349,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
79,0,79,0,140.34644970000954,,140.33255940000527,140.34644970000954,141.34698110001045,141.34698110001045,141.9306370000122,down,1,0.5733719999843743,None,-4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
80,0,80,0,141.94664840001496,,141.93190900000627,141.94664840001496,142.94664240002749,142.94664240002749,143.71391020002193,up,1,0.7567293999891263,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
81,0,81,0,143.73010410001734,,143.71525269999984,143.73010410001734,144.73011050000787,144.73011050000787,145.2974934000231,down,1,0.5606305999972392,None,-5,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
82,0,82,0,145.31351440001163,,145.2988294000097,145.31351440001163,146.3134255000041,146.3134255000041,147.46375819999957,down,1,1.139729200018337,None,-3,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
83,0,83,0,147.48010360001354,,147.4650360000087,147.48010360001354,148.4801433000248,148.4801433000248,149.1139358000073,up,1,0.6177724000008311,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
84,0,84,0,149.13012810001965,,149.11522180002066,149.13012810001965,150.13007480002125,150.13007480002125,151.24742010000045,up,1,1.1107252999790944,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
85,0,85,0,151.26357660000212,,151.24871870002244,151.26357660000212,152.2632553000003,152.2632553000003,152.74795380001888,up,1,0.4809347999980673,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
86,0,86,0,152.7630473000172,,152.74927380000008,152.7630473000172,153.76350410000305,153.76350410000305,154.380824700027,down,1,0.6066742000111844,None,-4,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
87,0,87,0,154.3966738000163,,154.38215550000314,154.3966738000163,155.396438100026,155.396438100026,156.49734580001677,up,0,1.0848583999904804,None,-2,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
88,0,88,0,156.51312610000605,,156.49868530000094,156.51312610000605,157.5132512000273,157.5132512000273,158.24736090001534,down,0,0.731738900009077,None,0,lab_rep,001,2024-09-13_11h57.07.859,signal detection,2024.1.5,None,2024-09-13 11h57.18.743895 +0530,
