seq,target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,sq1.started,sq2.started,sq3.started,sq4.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
patterned,3,0,1,1,3,0,1,1,1,9.688137499964796,,9.672590299975127,9.688137499964796,9.688137499964796,9.688137499964796,9.688137499964796,9.688137499964796,11.055579099920578,['4'],[1.362733899964951],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,0,1,1,3,0,2,2,2,11.071567100007087,,11.056101699941792,11.071567100007087,11.071567100007087,11.071567100007087,11.071567100007087,11.071567100007087,11.98909809999168,['2'],[0.9072011000243947],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,0,1,1,3,0,3,3,3,12.004730999935418,,11.989534799940884,12.004730999935418,12.004730999935418,12.004730999935418,12.004730999935418,12.004730999935418,13.622308499994688,['3'],[1.6134904000209644],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,1,0,1,1,3,1,0,4,0,13.637964399997145,,13.622718299971893,13.637964399997145,13.637964399997145,13.637964399997145,13.637964399997145,13.637964399997145,14.322373499977402,['1'],[0.6673282000701874],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,0,1,1,3,1,1,5,1,14.33816179994028,,14.322769699967466,14.33816179994028,14.33816179994028,14.33816179994028,14.33816179994028,14.33816179994028,15.755742099951021,['4'],[1.412005199934356],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,0,1,1,3,1,2,6,2,15.771468699909747,,15.75615619996097,15.771468699909747,15.771468699909747,15.771468699909747,15.771468699909747,15.771468699909747,16.606157499947585,['2'],[0.8323418999789283],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,0,1,1,3,1,3,7,3,16.6213050999213,,16.60658689995762,16.6213050999213,16.6213050999213,16.6213050999213,16.6213050999213,16.6213050999213,18.22247099992819,['3'],[1.5984054999426007],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
random,2,0,1,1,3,,,,,,,,,,,,,,,,,413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,1,0,2,2,1,0,0,0,0,18.238200999912806,,18.225648999912664,18.238200999912806,18.238200999912806,18.238200999912806,18.238200999912806,18.238200999912806,19.02246279991232,['1'],[0.7732063001021743],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,0,2,2,1,0,1,1,1,19.038119899923913,,19.022980200010352,19.038119899923913,19.038119899923913,19.038119899923913,19.038119899923913,19.038119899923913,20.324000200023875,['4'],[1.2733897999860346],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,0,2,2,1,0,2,2,2,20.338285199948587,,20.324433299945667,20.338285199948587,20.338285199948587,20.338285199948587,20.338285199948587,20.338285199948587,21.205707999994047,['2'],[0.8512065000832081],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,0,2,2,1,0,3,3,3,21.221410099999048,,21.206077600014396,21.221410099999048,21.221410099999048,21.221410099999048,21.221410099999048,21.221410099999048,22.556581299984828,['3'],[1.3198415000224486],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,1,0,2,2,1,1,0,4,0,22.57162469998002,,22.55714429996442,22.57162469998002,22.57162469998002,22.57162469998002,22.57162469998002,22.57162469998002,23.40642020001542,['1'],[0.8332947000162676],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,0,2,2,1,1,1,5,1,23.421333499951288,,23.40684459998738,23.421333499951288,23.421333499951288,23.421333499951288,23.421333499951288,23.421333499951288,24.389544099918567,['4'],[0.9572276000399143],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,0,2,2,1,1,2,6,2,24.40470039995853,,24.38992889993824,24.40470039995853,24.40470039995853,24.40470039995853,24.40470039995853,24.40470039995853,25.25536930002272,['2'],[0.8452968000201508],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,0,2,2,1,1,3,7,3,25.27163400000427,,25.25573470001109,25.27163400000427,25.27163400000427,25.27163400000427,25.27163400000427,25.27163400000427,26.25542870000936,['4'],[0.9809928999748081],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
random,1,0,2,2,1,,,,,,,,,,,,,,,,,413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
