seq,target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instructions.stopped,trial.started,t,sq1.started,sq2.started,sq3.started,sq4.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
random,0,1,4,9,4,26.39142549992539,,,,,26.377785499906167,4,26.591465800069273,26.591465800069273,26.591465800069273,26.591465800069273,26.591465800069273,27.226173300063238,4,0.6255185999907553,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,2,0,10,0,27.24172200006433,,,,,27.226926899980754,1,27.44151879986748,27.44151879986748,27.44151879986748,27.44151879986748,27.44151879986748,28.52685289992951,1,1.0760076998267323,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,2,1,11,1,28.541475099977106,,,,,28.527645400026813,3,28.74118519993499,28.74118519993499,28.74118519993499,28.74118519993499,28.74118519993499,30.19452799996361,3,1.445960400160402,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,2,2,12,2,30.208112499909475,,,,,30.195743500022218,2,30.40779779991135,30.40779779991135,30.40779779991135,30.40779779991135,30.40779779991135,31.109004199970514,2,0.6889396999031305,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,2,3,13,3,31.124620500020683,,,,,31.109735100064427,4,31.324442700017244,31.324442700017244,31.324442700017244,31.324442700017244,31.324442700017244,32.19280069996603,4,0.8633865998126566,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,2,4,14,4,32.20782690006308,,,,,32.193531499942765,4,32.4076487000566,32.4076487000566,32.4076487000566,32.4076487000566,32.4076487000566,33.02562480000779,4,0.6058438001200557,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,3,0,15,0,33.04140269989148,,,,,33.02637149998918,1,33.24135360005312,33.24135360005312,33.24135360005312,33.24135360005312,33.24135360005312,34.04323980002664,1,0.7956775000784546,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,3,1,16,1,34.05803989991546,,,,,34.04452949995175,3,34.25797150004655,34.25797150004655,34.25797150004655,34.25797150004655,34.25797150004655,35.158821899909526,3,0.8895092001184821,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,3,2,17,2,35.17489290004596,,,,,35.15953399986029,2,35.37491889996454,35.37491889996454,35.37491889996454,35.37491889996454,35.37491889996454,36.07656940002926,2,0.6970736000221223,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,3,3,18,3,36.09127700002864,,,,,36.077327999984846,4,36.29130079993047,36.29130079993047,36.29130079993047,36.29130079993047,36.29130079993047,37.19364960002713,4,0.8936437999363989,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,3,4,19,4,37.20832569990307,,,,,37.19447069987655,4,37.40799989993684,37.40799989993684,37.40799989993684,37.40799989993684,37.40799989993684,38.44236720004119,4,1.0312630000989884,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,4,0,20,0,38.45785259990953,,,,,38.44306840002537,1,38.65784560004249,38.65784560004249,38.65784560004249,38.65784560004249,38.65784560004249,39.39310900005512,1,0.7188789001666009,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,4,1,21,1,39.40811110008508,,,,,39.39424829999916,3,39.608058099867776,39.608058099867776,39.608058099867776,39.608058099867776,39.608058099867776,40.659715299960226,3,1.0482319998554885,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,4,2,22,2,40.67493169987574,,,,,40.66148640005849,2,40.87456829985604,40.87456829985604,40.87456829985604,40.87456829985604,40.87456829985604,41.59319290006533,2,0.7150218999013305,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,4,3,23,3,41.60815569991246,,,,,41.59436129988171,4,41.80823550000787,41.80823550000787,41.80823550000787,41.80823550000787,41.80823550000787,42.6767343999818,4,0.8660955999512225,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,4,4,24,4,42.69136719987728,,,,,42.677505400031805,2,42.89169760001823,42.89169760001823,42.89169760001823,42.89169760001823,42.89169760001823,43.84301559999585,2,0.9447371999267489,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,5,0,25,0,43.85839050007053,,,,,43.84397269994952,1,44.05812619999051,44.05812619999051,44.05812619999051,44.05812619999051,44.05812619999051,44.74249450000934,1,0.6824403000064194,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,5,1,26,1,44.75793259986676,,,,,44.74322209996171,3,44.95778819988482,44.95778819988482,44.95778819988482,44.95778819988482,44.95778819988482,46.02688689995557,3,1.0583901999052614,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,5,2,27,2,46.04127010004595,,,,,46.02762080007233,2,46.24165729992092,46.24165729992092,46.24165729992092,46.24165729992092,46.24165729992092,47.328096400015056,2,1.0757906998042017,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,5,3,28,3,47.34144059987739,,,,,47.329413400031626,4,47.54143820004538,47.54143820004538,47.54143820004538,47.54143820004538,47.54143820004538,48.54308209987357,4,0.9857288000639528,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,5,4,29,4,48.558205999899656,,,,,48.545293299946934,3,48.757904399884865,48.757904399884865,48.757904399884865,48.757904399884865,48.757904399884865,49.71101229987107,3,0.9443514999002218,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,6,0,30,0,49.724685499910265,,,,,49.71218500006944,1,49.92472469992936,49.92472469992936,49.92472469992936,49.92472469992936,49.92472469992936,51.09259760007262,1,1.1592131999786943,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,6,1,31,1,51.10791300004348,,,,,51.093458799878135,3,51.30789109994657,51.30789109994657,51.30789109994657,51.30789109994657,51.30789109994657,52.22599619999528,3,0.9087659001816064,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,6,2,32,2,52.241333700018004,,,,,52.22676649992354,2,52.44144729990512,52.44144729990512,52.44144729990512,52.44144729990512,52.44144729990512,53.09245379990898,2,0.6369010000489652,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,6,3,33,3,53.10840280004777,,,,,53.09318839991465,4,53.30885359994136,53.30885359994136,53.30885359994136,53.30885359994136,53.30885359994136,54.22714099986479,4,0.9053803000133485,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,6,4,34,4,54.241489599924535,,,,,54.228033100022,3,54.44144429988228,54.44144429988228,54.44144429988228,54.44144429988228,54.44144429988228,55.19307849998586,3,0.735106100095436,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,7,0,35,0,55.20802460005507,,,,,55.19436610001139,1,55.40822990005836,55.40822990005836,55.40822990005836,55.40822990005836,55.40822990005836,56.21013649995439,1,0.7914579999633133,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,7,1,36,1,56.224520599935204,,,,,56.21222690003924,3,56.4246201000642,56.4246201000642,56.4246201000642,56.4246201000642,56.4246201000642,57.32846469990909,3,0.8922636001370847,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,7,2,37,2,57.3413344998844,,,,,57.32996149989776,2,57.54129259986803,57.54129259986803,57.54129259986803,57.54129259986803,57.54129259986803,58.52660680003464,2,0.9796785998623818,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,7,3,38,3,58.5413798999507,,,,,58.527756199939176,4,58.74138929997571,58.74138929997571,58.74138929997571,58.74138929997571,58.74138929997571,60.426724599907175,4,1.6781956001650542,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,7,4,39,4,60.441336599877104,,,,,60.427884500008076,4,60.6418739000801,60.6418739000801,60.6418739000801,60.6418739000801,60.6418739000801,61.92578179994598,4,1.272621599957347,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,8,0,40,0,61.94162880000658,,,,,61.92649709992111,1,62.14184469985776,62.14184469985776,62.14184469985776,62.14184469985776,62.14184469985776,63.060089600039646,1,0.9125372997950763,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,8,1,41,1,63.07489559985697,,,,,63.065641100052744,3,63.2746697999537,63.2746697999537,63.2746697999537,63.2746697999537,63.2746697999537,64.34267980000004,3,1.060172599973157,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,8,2,42,2,64.35797500004992,,,,,64.34341729991138,2,64.55816760007292,64.55816760007292,64.55816760007292,64.55816760007292,64.55816760007292,65.62645579990931,2,1.0591714000329375,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,8,3,43,3,65.64154059998691,,,,,65.62761109997518,4,65.84137609996833,65.84137609996833,65.84137609996833,65.84137609996833,65.84137609996833,66.77767049986869,4,0.9254109000321478,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,8,4,44,4,66.79134120000526,,,,,66.77897330000997,1,66.9915398999583,66.9915398999583,66.9915398999583,66.9915398999583,66.9915398999583,67.69275430007838,1,0.6879594000056386,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,9,0,45,0,67.7078016998712,,,,,67.69407229986973,1,67.9081818999257,67.9081818999257,67.9081818999257,67.9081818999257,67.9081818999257,68.52678469987586,1,0.6144137000665069,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,9,1,46,1,68.54140720004216,,,,,68.52793559990823,3,68.74154790001921,68.74154790001921,68.74154790001921,68.74154790001921,68.74154790001921,69.64315210003406,3,0.898764600045979,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,9,2,47,2,69.65806280006655,,,,,69.64431490004063,2,69.85798770003021,69.85798770003021,69.85798770003021,69.85798770003021,69.85798770003021,70.54240979999304,2,0.6796323999296874,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,9,3,48,3,70.55803159996867,,,,,70.5431518999394,4,70.75791179994121,70.75791179994121,70.75791179994121,70.75791179994121,70.75791179994121,71.70955209992826,4,0.942248199833557,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,9,4,49,4,71.72462749993429,,,,,71.71071909996681,1,71.92478160001338,71.92478160001338,71.92478160001338,71.92478160001338,71.92478160001338,72.71039450005628,1,0.7812632001005113,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,10,0,50,0,72.72465840005316,,,,,72.7115754999686,1,72.92454520007595,72.92454520007595,72.92454520007595,72.92454520007595,72.92454520007595,73.42609229986556,1,0.48503799992613494,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,10,1,51,1,73.44148729997687,,,,,73.42726329993457,3,73.64166849991307,73.64166849991307,73.64166849991307,73.64166849991307,73.64166849991307,74.47605869988911,3,0.8178928000852466,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,10,2,52,2,74.49125909991562,,,,,74.47676780004986,2,74.69131559995003,74.69131559995003,74.69131559995003,74.69131559995003,74.69131559995003,75.2766686999239,2,0.5794128000270575,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,10,3,53,3,75.29170929989778,,,,,75.27781510003842,4,75.49153780005872,75.49153780005872,75.49153780005872,75.49153780005872,75.49153780005872,76.36053809989244,4,0.8525863999966532,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,10,4,54,4,76.37461180007085,,,,,76.36176529992372,2,76.57468790002167,76.57468790002167,76.57468790002167,76.57468790002167,76.57468790002167,77.39442589995451,2,0.8105310997925699,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,11,0,55,0,77.40798159991391,,,,,77.3953201000113,1,77.60809860005975,77.60809860005975,77.60809860005975,77.60809860005975,77.60809860005975,78.19278199994005,1,0.5738798000384122,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,11,1,56,1,78.20784180006012,,,,,78.19369630003348,3,78.4080294999294,78.4080294999294,78.4080294999294,78.4080294999294,78.4080294999294,79.87623380008154,3,1.435910299886018,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,11,2,57,2,79.89128919993527,,,,,79.87739049992524,2,80.09154449985363,80.09154449985363,80.09154449985363,80.09154449985363,80.09154449985363,80.97721969988197,2,0.8724443998653442,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,11,3,58,3,80.99148099985905,,,,,80.97860220004804,4,81.1914707000833,81.1914707000833,81.1914707000833,81.1914707000833,81.1914707000833,82.74338659993373,4,1.5400229000952095,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,11,4,59,4,82.75805149995722,,,,,82.7445211999584,4,82.95791910006665,82.95791910006665,82.95791910006665,82.95791910006665,82.95791910006665,83.62601540004835,4,0.6507009000051767,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
