reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,5,2,37,1,90.51857759999984,,90.50510200000008,90.51857759999984,91.51869350000015,91.51869350000015,91.51869350000015,92.40448840000045,t,0.8792712999993455,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,5,3,38,5,92.41861250000056,,92.40557470000022,92.41861250000056,93.41889319999973,93.41889319999973,93.41889319999973,95.82134560000031,t,2.400347000000693,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
40,55,62,5,4,39,3,95.83515640000041,,95.82245609999973,95.83515640000041,96.83561590000045,96.83561590000045,96.83561590000045,99.18720810000013,t,2.3431221000000733,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
27,50,21,5,5,40,2,99.20212689999971,,99.18830390000039,99.20212689999971,100.20187050000004,100.20187050000004,100.20187050000004,101.93718630000058,l,1.719819599999937,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,5,6,41,4,101.95183460000044,,101.93823429999975,101.95183460000044,102.95211670000026,102.95211670000026,102.95211670000026,105.2369061999998,l,2.2678761999995913,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
40,55,62,6,0,42,3,105.25196500000038,,105.23797350000041,105.25196500000038,106.25195619999977,106.25195619999977,106.25195619999977,107.87088690000019,t,1.6014537999999447,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,6,1,43,5,107.8851709999999,,107.87194369999997,107.8851709999999,108.88546790000055,108.88546790000055,108.88546790000055,110.42141989999982,t,1.5310058999993998,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
27,50,21,6,2,44,2,110.43555900000047,,110.42249970000012,110.43555900000047,111.43515089999983,111.43515089999983,111.43515089999983,112.55346129999998,l,1.1110033999993902,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
11,30,7,6,3,45,0,112.56849969999985,,112.55452640000021,112.56849969999985,113.56874979999975,113.56874979999975,113.56874979999975,115.13685200000054,l,1.5572816000003513,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
15,35,13,6,4,46,1,115.15183960000013,,115.13790719999997,115.15183960000013,116.15204350000022,116.15204350000022,116.15204350000022,118.53715170000032,l,2.3720968000006906,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
78,80,162,6,5,47,6,118.55217900000025,,118.53821890000017,118.55217900000025,119.5521404000001,119.5521404000001,119.5521404000001,121.2545012999999,t,1.6957487999998193,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,6,6,48,4,121.26904999999988,,121.25568000000021,121.26904999999988,122.26874940000016,122.26874940000016,122.26874940000016,124.98741400000017,t,2.701088799999525,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
15,35,13,7,0,49,1,125.0018856000006,,124.98852609999994,125.0018856000006,126.00194300000021,126.00194300000021,126.00194300000021,128.27030980000018,l,2.252624300000207,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,7,1,50,4,128.28537469999992,,128.27143070000056,128.28537469999992,129.31048250000003,129.31048250000003,129.31048250000003,133.69554450000032,l,4.382885600000009,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
78,80,162,7,2,51,6,133.71010339999975,,133.6966567999998,133.71010339999975,134.7018909999997,134.7018909999997,134.71850510000058,135.95402830000057,t,1.2439725000003818,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
27,50,21,7,3,52,2,135.96851340000012,,135.95523240000057,135.96851340000012,136.96859779999977,136.96859779999977,136.96859779999977,138.28751340000053,l,1.316162300000542,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
40,55,62,7,4,53,3,138.3017593000004,,138.28857400000015,138.3017593000004,139.30182349999995,139.30182349999995,139.30182349999995,140.97058590000051,l,1.6571903000003658,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,7,5,54,5,140.9852335000005,,140.9716623000004,140.9852335000005,141.98520699999972,141.98520699999972,141.98520699999972,144.38698490000024,t,2.3913887999997314,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
11,30,7,7,6,55,0,144.40202630000022,,144.38806939999995,144.40202630000022,145.40192939999997,145.40192939999997,145.40192939999997,147.28717310000047,l,1.8683294000002206,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
