trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,0,15,0,33.50059259997215,,33.461059499997646,5,33.50059259997215,33.50059259997215,0.024850600049830973,35.43744790001074,[0.20182291666666666],[-0.15104166666666666],[1],[0],[0],[1.9518650999525562],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
16,0,16,0,35.46829129999969,,35.44388589996379,5,35.46829129999969,35.46829129999969,0.018548300024122,37.104120399977546,[-0.09895833333333333],[-0.12630208333333334],[1],[0],[0],[1.6419952999567613],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
17,0,17,0,37.15862870001001,,37.11153270001523,5,37.15862870001001,37.15862870001001,0.03308590000960976,38.78742680000141,[0.4283854166666667],[-0.4401041666666667],[1],[0],[0],[1.6440644999966025],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
18,0,18,0,38.83737819996895,,38.79062889999477,10,38.83737819996895,38.83737819996895,0.035275000031106174,40.696469499962404,[-0.12239583333333333],[-0.4661458333333333],[1],[0],[0],[1.8706284000072628],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
19,0,19,0,40.740794499986805,,40.70390999998199,5,40.740794499986805,40.740794499986805,0.02757700002985075,43.004338199971244,[0.3255208333333333],[-0.46875],[1],[0],[0],[2.2740210000192747],[],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
20,0,20,0,43.03109850001056,,43.00799469999038,5,43.03109850001056,43.03109850001056,0.016823100042529404,45.33815289998893,[0.21484375],[0.02734375],[1],[0],[0],[2.313532900006976],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
21,0,21,0,45.42366570001468,,45.34580259997165,10,45.42366570001468,45.42366570001468,0.05925639998167753,46.85651339998003,[0.3763020833333333],[0.1328125],[1],[0],[0],[1.4529386999784037],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
22,0,22,0,46.89958510000724,,46.85944859997835,10,46.89958510000724,46.89958510000724,0.03022459999192506,49.5757728999597,[0.3059895833333333],[-0.4791666666666667],[1],[0],[0],[2.6862138000433333],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
23,0,23,0,49.64756030001445,,49.58034139999654,10,49.64756030001445,49.64756030001445,0.04855830001179129,52.062178699998185,[-0.14713541666666666],[0.3502604166666667],[1],[0],[0],[2.4336393999983557],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
24,0,24,0,52.1327265999862,,52.06961030000821,10,52.1327265999862,52.1327265999862,0.04737570002907887,57.239840399997775,[-0.2526041666666667],[-0.4348958333333333],[1],[0],[0],[5.123684999998659],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
25,0,25,0,57.28941659996053,,57.245725899992976,5,57.28941659996053,57.28941659996053,0.0285194999887608,59.390970600012224,[0.17057291666666666],[0.2994791666666667],[1],[0],[0],[2.1170711999875493],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
26,0,26,0,59.44608009996591,,59.39933609997388,5,59.44608009996591,59.44608009996591,0.030074300011619925,61.0893505999702,[0.022135416666666668],[0.07552083333333333],[1],[0],[0],[1.6609944999800064],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
27,0,27,0,61.129851899982896,,61.09443369996734,5,61.129851899982896,61.129851899982896,0.023514000000432134,62.8228166999761,[0.3151041666666667],[-0.15885416666666666],[1],[0],[0],[1.7056622999953106],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
28,0,28,0,62.86153569997987,,62.82771679997677,5,62.86153569997987,62.86153569997987,0.022345300007145852,64.60685669997474,[-0.2265625],[0.3984375],[1],[0],[0],[1.7574319000123069],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
29,0,29,0,64.71328460000223,,64.61131120001664,10,64.71328460000223,64.71328460000223,0.07822239998495206,67.47564560000319,[-0.4440104166666667],[-0.026041666666666668],[1],[0],[0],[2.7868157999473624],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
30,0,30,0,67.52047019999009,,67.47908339998685,10,67.52047019999009,67.52047019999009,0.030885799962561578,71.35823509999318,[0.19661458333333334],[-0.3046875],[1],[0],[0],[3.848654399975203],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
31,0,31,0,71.4292553999694,,71.36208150000311,10,71.4292553999694,71.4292553999694,0.04322849999880418,73.22304959996836,[0.4453125],[-0.16927083333333334],[1],[0],[0],[1.8182171999942511],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
