trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
66,0,66,0,97.67081769974902,,97.62140179984272,10,97.67081769974902,97.67081769974902,0.03556180000305176,98.71380859985948,99.04860129998997,[-0.21333333333333335],[-0.25],[1],[0],[0],[1.3919375999830663],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
67,0,67,0,99.12854210007936,,99.05666470015422,10,99.12854210007936,99.12854210007936,0.05767050012946129,100.16360649978742,100.58298739977181,[-0.02],[0.13333333333333333],[1],[0],[0],[1.4698189999908209],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
68,0,68,0,100.6156319999136,,100.58796120015904,5,100.6156319999136,100.6156319999136,0.018950900062918663,101.64699969999492,102.18358479999006,[-0.28833333333333333],[-0.24],[1],[0],[0],[1.576965999789536],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
69,0,69,0,102.23385349987075,,102.19154429994524,5,102.23385349987075,102.23385349987075,0.02952570002526045,103.24837360018864,103.73272259999067,[-0.23166666666666666],[0.18833333333333332],[1],[0],[0],[1.5128922001458704],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
70,0,70,0,103.76698679989204,,103.73723169974983,5,103.76698679989204,103.76698679989204,0.01829299982637167,104.78412939980626,105.08330440009013,[0.0],[0.12333333333333334],[1],[0],[0],[1.3280806997790933],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
71,0,71,0,105.14656409993768,,105.09093789989129,10,105.14656409993768,105.14656409993768,0.04269509995356202,106.18044719984755,106.98163209995255,[0.16333333333333333],[-0.38666666666666666],[1],[0],[0],[1.8490618001669645],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
72,0,72,0,107.03521559992805,,106.9893863000907,5,107.03521559992805,107.03521559992805,0.031147300265729427,108.04843389987946,108.9000531998463,[0.2833333333333333],[-0.21166666666666667],[1],[0],[0],[1.8805481996387243],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
73,0,73,0,108.95210690004751,,108.90780910011381,5,108.95210690004751,108.95210690004751,0.03068750025704503,109.96441579982638,110.36855590017512,[-0.06333333333333334],[0.43833333333333335],[1],[0],[0],[1.4311195998452604],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
74,0,74,0,110.40843089995906,,110.37622819980606,5,110.40843089995906,110.40843089995906,0.02463539969176054,111.41440089978278,112.46695839986205,[-0.2866666666666667],[0.021666666666666667],[1],[0],[0],[2.0672721001319587],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
75,0,75,0,112.5289626000449,,112.4746821001172,10,112.5289626000449,112.5289626000449,0.04161170031875372,113.53098070016131,113.74954929994419,[-0.07333333333333333],[0.40166666666666667],[1],[0],[0],[1.2345159999094903],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
76,0,76,0,113.78210800001398,,113.75406430009753,5,113.78210800001398,113.78210800001398,0.018832200206816196,114.78184300009161,115.2332776999101,[0.325],[-0.27],[1],[0],[0],[1.4603438000194728],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
77,0,77,0,115.28510949993506,,115.24105039983988,5,115.28510949993506,115.28510949993506,0.030543599743396044,116.33059429982677,117.03440020000562,[-0.445],[-0.25666666666666665],[1],[0],[0],[1.763857299927622],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
78,0,78,0,117.08599349996075,,117.04235689993948,5,117.08599349996075,117.08599349996075,0.030220599845051765,118.0974623998627,118.5688014999032,[-0.27666666666666667],[0.295],[1],[0],[0],[1.4971586000174284],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
79,0,79,0,118.62061029998586,,118.57676950003952,5,118.62061029998586,118.62061029998586,0.030657300259917974,119.66339180013165,119.9315766999498,[-0.17166666666666666],[-0.43833333333333335],[1],[0],[0],[1.325191100127995],[],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
80,0,80,0,119.99961060006171,,119.93951429985464,10,119.99961060006171,119.99961060006171,0.046081400010734797,121.01430650008842,121.31649489980191,[-0.05],[-0.0033333333333333335],[1],[0],[0],[1.3321504001505673],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
81,0,81,0,121.37170200003311,,121.3210212001577,10,121.37170200003311,121.37170200003311,0.03552269982174039,122.38088529976085,122.99885840015486,[-0.09166666666666666],[0.01],[1],[0],[0],[1.6426429999992251],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
82,0,82,0,123.05098519986495,,123.00685520004481,5,123.05098519986495,123.05098519986495,0.030620599631220102,124.0648755999282,124.38240749994293,[0.03],[-0.08666666666666667],[1],[0],[0],[1.3462863001041114],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
83,0,83,0,124.41528500011191,,124.38693659985438,5,124.41528500011191,124.41528500011191,0.018425299786031246,125.41484089987352,125.88268119981512,[-0.15666666666666668],[0.3516666666666667],[1],[0],[0],[1.4778464999981225],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
84,0,84,0,125.9368452001363,,125.88712309999391,10,125.9368452001363,125.9368452001363,0.03463219990953803,126.94779939996079,127.51660790015012,[-0.39166666666666666],[0.44166666666666665],[1],[0],[0],[1.595357000362128],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
85,0,85,0,127.57594509981573,,127.52110690018162,10,127.57594509981573,127.57594509981573,0.03857899969443679,128.61349020013586,130.2164679998532,[-0.18166666666666667],[0.4816666666666667],[1],[0],[0],[2.657101900316775],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
86,0,86,0,130.26863030018285,,130.2244265000336,5,130.26863030018285,130.26863030018285,0.030856000259518623,,131.01665249979123,[-0.18166666666666667],[0.4816666666666667],[1],[0],[0],[0.7624558000825346],[],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
87,0,87,0,131.06860450003296,,131.02432770002633,5,131.06860450003296,131.06860450003296,0.030775099992752075,132.0813392000273,132.68331159977242,[0.11833333333333333],[0.19666666666666666],[1],[0],[0],[1.6293517998419702],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
88,0,88,0,132.71303380001336,,132.6877890001051,5,132.71303380001336,132.71303380001336,0.017005799803882837,133.71518249996006,134.1323195998557,[0.25],[-0.33166666666666667],[1],[0],[0],[1.4279442001134157],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
