delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
0.4,1000,exp,17,2,206,10,983.472047999996,,983.4603986,983.472047999996,984.471514799981,984.471514799981,984.471514799981,985.489568699995,space,1.01626190001844,None,985.491620799992,985.904707266662,986.218684899999,986.206883499981,986.206903499988,986.218684899999,986.218684899999,986.218684899999,989.569876399997,300,1,[3.3619541999942157],[3.361959100002423],985.471493699995,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.4,1000,exp,17,3,207,7,989.585471300001,,989.573366099998,989.585471300001,990.585617200006,990.585617200006,990.585617200006,991.602990999992,space,1.01322940000682,None,991.6047999,992.019042466655,992.32769939999,992.316773099999,992.316791699995,992.32769939999,992.32769939999,992.32769939999,993.931280399993,200,1,[1.6134708999888971],[1.6134765000024345],991.585491999984,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.4,400,unexp,17,4,208,1,993.946398600005,,993.934858499997,993.946398600005,994.946506999986,994.946506999986,994.946506999986,996.264419499988,space,1.30944850001833,None,996.266206500004,996.679729766653,996.994002599997,996.977095199982,996.977115299989,996.994002599997,996.994002599997,996.994002599997,998.528286799992,300,1,[1.54996969999047],[1.5499796999793034],995.946270199987,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,400,unexp,17,5,209,0,998.543679299997,,998.53196339999,998.543679299997,999.543869899993,999.543869899993,999.543869899993,1000.16149899998,space,0.607975600025384,None,1000.16325119999,1000.27700616667,1000.58777359998,1000.57689520001,1000.5769136,1000.58777359998,1000.58777359998,1000.58777359998,1003.4231101,200,1,[2.8451773000124376],[2.8451834000006784],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,1000,exp,17,6,210,9,1003.4381687,,1003.42672399999,1003.4381687,1004.43813679999,1004.43813679999,1004.43813679999,1004.8392355,space,0.385238199989544,None,1004.8410472,1004.95510316667,1005.26865059999,1005.25680639999,1005.2568298,1005.26865059999,1005.26865059999,1005.26865059999,1008.01984649998,400,1,[2.7617376999987755],[2.761775499995565],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.7,400,unexp,17,7,211,2,1008.03535419999,,1008.02336560001,1008.03535419999,1009.03556069999,1009.03556069999,1009.03556069999,1010.40306349998,space,1.35241970000789,None,1010.4049202,1011.11889386666,1011.42769789998,1011.4167762,1011.4167952,1011.42769789998,1011.42769789998,1011.42769789998,1014.43223790001,300,1,[3.014344800001709],[3.014351500023622],1010.03571669999,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.7,1000,exp,17,8,212,5,1014.44654119998,,1014.43575879998,1014.44654119998,1015.4464822,1015.4464822,1015.4464822,1017.36401799999,space,1.9009253999975,None,1017.3659838,1018.08001836666,1018.39383059999,1018.37710879999,1018.3771288,1018.39383059999,1018.39383059999,1018.39383059999,1019.86126559999,300,1,[1.48293639998883],[1.4829466999799479],1016.44657080001,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,1000,exp,17,9,213,6,1019.8772132,,1019.8647985,1019.8772132,1020.87729969999,1020.87729969999,1020.87729969999,1021.0116198,space,0.118381000007503,None,1021.013343,1021.12735196666,1021.43771299999,1021.4267825,1021.42680280001,1021.43771299999,1021.43771299999,1021.43771299999,1022.5399154,300,1,[1.1119677000097],[1.1119789000076707],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.7,1000,exp,17,10,214,11,1022.55481109998,,1022.5434232,1022.55481109998,1023.55473959999,1023.55473959999,1023.55473959999,1023.68908399998,space,0.130953999992926,None,1023.69090329998,1024.40468846666,1024.71866049999,1024.70670949999,1024.7067295,1024.71866049999,1024.71866049999,1024.71866049999,1026.0200017,700,1,[1.3120374999998603],[1.3120476999902166],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.4,1000,exp,17,11,215,4,1026.03531069998,,1026.02352649998,1026.03531069998,1027.03562839999,1027.03562839999,1027.03562839999,1028.0363449,space,0.998038300022017,None,1028.03809699998,1028.45229996666,1028.75731660001,1028.7467353,1028.7467545,1028.75731660001,1028.75731660001,1028.75731660001,1030.12481019998,400,1,[1.3769117000047117],[1.3769168000144418],1028.03541749998,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,1000,exp,18,0,216,3,1030.1404307,,1030.12832639998,1030.1404307,1031.1404488,1031.1404488,1031.1404488,1031.40860249999,space,0.251510600006441,None,1031.4103206,1031.52411946666,1031.84915609998,1031.82684269999,1031.82686239999,1031.84915609998,1031.84915609998,1031.84915609998,1033.250244,200,1,[1.4221397999790497],[1.4221569999936037],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.7,400,unexp,18,1,217,2,1033.26557269998,,1033.25429409998,1033.26557269998,1034.26569959999,1034.26569959999,1034.26569959999,1034.7334656,space,0.463659200002439,None,1034.73520910001,1035.44897226667,1035.75705099999,1035.74663479999,1035.7466556,1035.75705099999,1035.75705099999,1035.75705099999,1037.54159139999,999,1,[1.7938404000014998],[1.7938463000173215],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.4,400,unexp,18,2,218,1,1037.5573177,,1037.54507729999,1037.5573177,1038.55718899998,1038.55718899998,1038.55718899998,1039.124556,space,0.560532800009241,None,1039.12630989999,1039.54042416666,1039.84740549998,1039.8366642,1039.83668129999,1039.84740549998,1039.84740549998,1039.84740549998,1040.98098259998,500,1,[1.143268200015882],[1.143272999994224],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.4,1000,exp,18,3,219,10,1040.9969611,,1040.98449619999,1040.9969611,1041.99720399998,1041.99720399998,1041.99720399998,1042.3980858,space,0.398593399993842,None,1042.39983379998,1042.81387586665,1043.13870779998,1043.1167745,1043.11679229999,1043.13870779998,1043.13870779998,1043.13870779998,1044.68972,400,1,[1.5718348000082187],[1.5718397999880835],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.4,1000,exp,18,4,220,7,1044.70586379999,,1044.69324339999,1044.70586379999,1045.70531719999,1045.70531719999,1045.70531719999,1046.12350799999,space,0.405413000000408,None,1046.12543329998,1046.53874466665,1046.84723109999,1046.8366867,1046.83670670001,1046.84723109999,1046.84723109999,1046.84723109999,1048.68130120001,400,1,[1.8435800999868661],[1.8435849999950733],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.7,1000,exp,18,5,221,5,1048.6972313,,1048.6848471,1048.6972313,1049.69745209999,1049.69745209999,1049.69745209999,1049.96474120001,space,0.254447199986316,None,1049.96651500001,1050.68038656665,1050.9870166,1050.97658769999,1050.97660699999,1050.9870166,1050.9870166,1050.9870166,1052.7546823,600,1,[1.7768775000004098],[1.776887899992289],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.7,1000,exp,18,6,222,11,1052.7701814,,1052.7584127,1052.7701814,1053.7702685,1053.7702685,1053.7702685,1053.93790329999,space,0.152144199993927,None,1053.9399161,1054.65363306666,1054.9785424,1054.95676499998,1054.95678380001,1054.9785424,1054.9785424,1054.9785424,1057.1457732,600,1,[2.187927099992521],[2.187931899999967],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,400,unexp,18,7,223,0,1057.16180810001,,1057.14927560001,1057.16180810001,1058.16167,1058.16167,1058.16167,1058.41319019999,space,0.234585400001379,None,1058.4149231,1058.52867176666,1058.83718529998,1058.82656789999,1058.82658659999,1058.83718529998,1058.83718529998,1058.83718529998,1061.23816879999,500,1,[2.410393300000578],[2.4104037000215612],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.4,1000,exp,18,8,224,4,1061.25362619999,,1061.2417903,1061.25362619999,1062.25363570001,1062.25363570001,1062.25363570001,1062.70428529999,space,0.437302599981194,None,1062.70602059999,1063.12026566666,1063.4274937,1063.41656079999,1063.41657909998,1063.4274937,1063.4274937,1063.4274937,1065.54456569999,300,1,[2.1269867999944836],[2.1269917000026908],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
